name, position, company, hirefor, location
Aakash Harit,HR Manager,Data Science Network,Classic ASP Developer; Internet Marketing Professional; Data Science SME; Content Writers; SEO Professional; Revenue Professional,Delhi
shravan Kumar Gaddam,Company Recruiter,Shore Infotech India Pvt. Ltd,.Net; Java; Data Science; Linux Administration; Sql Server Development; Winforms; Wcf Services; Wpf; Telecom Engineering; Technical Management; Software,Hyderabad / Secunderabad
Talent Acquisition Executive,Recruitment Professional,XenonStack,Web Designing; html5; Angular.js; seo; hadoop; Cloud Computing; python; Iphone Development; java; Machine Learning; aws; analytics; linux; puppet,Chandigarh
Anik Agrawal,Company Recruiter,Enerlytics Software Solutions Pvt Ltd,Mean Stack; javascript; angularjs; mongodb; Web Services; rest; express; Node.js; Big Data; iot; Data Science; Cloud Computing; saas; Aws,Ahmedabad
MARSIAN Technologies LLP,Company HR,MARSIAN Technologies LLP,Data Science; Artificial Intelligence; Machine Learning; Business Analytics,Pune
subhas patel,Founder CEO,LibraryXProject,Hadoop; Spark; Digital Strategy; Data Architecture; Command Center; Cdp; Dmp; Kafka; Data Science; Data Analysis; Big Data Analytics; Real Time Analysis; SQL,UK - (london)
Jitendra Singh,Manager- Talent Acquisition,Compunnel Technology India Pvt. Ltd,Python; Data Science; .Net; Java; Big Data; Data Analytics; Business Intelligence; Msbi; Aws; Microsoft Azure; Devops,Delhi
Abhishek - Only Analytics Hiring - India and,Recruitment Lead Consultant,Apidel Technologies Division of Transpower,Analytics; Business Intelligence; Business Analytics; Predictive Modeling; Predictive Analytics; Data Science; Data Analysis; Data Analytics; Big Data; Big,Vadodara / Baroda
Institute for Financial Management and Resear,Programme Manager,IFMR,Data Science,Chennai
Balu Ramesh,HR Administrator,Techvantage Systems Pvt Ltd,Machine Learning; algorithms; Go Getter; Computer Science; spark; Big Data; hdfs; sql; cassandra; hadoop; python; scala; java; Data Science; Front End,Trivandrum
Asif Lucknowi,Director,Weupskill- Live Wire India,Technical Training; Software Development; Presentation Skills; B.tech; M.tech; B.e.; mca; msc; Computer Science; freshers; jobs in indore; Data Science; itil,Indore
InstaFinancials,Human Resource,CBL Data Science Private Limited,Software Development; It Sales; Account Management; Data Analysis; Customer Service; Sr; Software Engineering; Mvc; Ajax; Asp.net; Html; C#; Javascript,Bengaluru / Bangalore
Kalpana Dumpala,Executive Hiring,Innominds Software,Qa; Ui/ux; Java Developer; Java Architect; C++/qt; Php; Lamp; Api; J2ee; Java; Soa; Esb; Middleware; Bigdata Achitect; Hadoop Architect; Deep,Hyderabad / Secunderabad
Mubarak,Company HR,MoneyTap,Business Intelligence; Data Warehousing; Data Science; Business Analytics; Customer Support; Business Reporting; Bi,Bengaluru / Bangalore
Kushal Rastogi,Company HR,QuantMagnum Technologies Pvt. Ltd.,Office Administration; Hr Administration; telecalling; client relationship management; Client Acquisition; Sales; Reception; HR; Recruitment; Onboarding; Human,Mumbai
Manisha Yadav,HR Executive,Easi Tax,Telecalling; Client Interaction; Marketing; Research; Web Development; Social Media Marketing; Data Entry Operation; Excel; Ms Office; Invoicing,Navi Mumbai
Kapil Devang,HR Manager,BISP Solutions,Big Data; Hadoop; Data Analytics; Data Science,Bhopal
Riya Rajesh,Manager Talent Acquisition,Novelworx Digital Solutions,Data Science,Cochin
Rakhi,Recruitment Consultant,Walkingtext Private Limited,Ites; Data Science; Cloud; Iot,Bengaluru / Bangalore
Mahesh Babu Channa,HR Team Lead,SocialPrachar.com,Social Media; digital media maketing; seo; smm; smo; sem; Content Wirting; social media marketing; social media manager; digital media marketing manager,Hyderabad / Secunderabad
Rashmi Bhattacharjee,HR Head,AXESTRACK SOFTWARE SOLUTIONS PRIVATE...,Corporate Sales; Software Development; Software Sales; Marketing; Creative Designing; Corporate Planning; Senior Management; Crm; Client Relationship,Delhi
Faizan Kareem,HR MANAGER,FirstTech Consaltants Pvt.Ltd,Data Analytics; Data Science; Machine Learning; Deep Learning; Nlp; Data Mining; Python; R; Database Administration; Text Mining,Hyderabad / Secunderabad
Rithika dadwal,HR Recruiter,Affine Analytics,Data Science; Machine Learning; Python; R; Deep Learning; Big Data; Hadoop,Pune
Azahar Shaikh,Company Recruiter,NEAL ANALYTICS SERVICES PVT LTD,Data Science; Artificial Intelligence; Machine Learning; Data Analytics,Pune
Pooja Seth,IT Technical Recruiter,RAPS iTech,B.tech; Hr Mba; quality assurance engineering; Data Science; Python; Software Development; Android Application Development,Chandigarh
Sandhya Khandagale,HR Recruiter,Compumatrice Multimedia Pvt Ltd,Big Data; Data Science; Artificial Intelligence; Hadoop; Ui Development; Php; Freelancing; .Net; Software Testing; Sap; Leadership Hiring,Pune
Shaun Rao,Manager Human Resources,Exela Technologies,Java; Net; Angularjs; Hr; Infrastructure; Management; Project Management; Business Analysis; Data Science; Information Technology; Technology,Pune
Manas,Lead Talent acquisition,Autumn Leaf Consulting Services Private...,Software Architecture; Vp Engineering; Product Management; analytics; Data Science; Node.js; Principal Engineer; Big Data; python; angularjs; React.js,Bengaluru / Bangalore
Srikanth Bellup,Director,TeachR Robotics Pvt. Ltd,mechatronics; robotics; Home Automation; iot; Raspberry Pi; python; C++; C; Data Science; 3d Modeling; 3d; Web Designing; Programming; Mechanical Design,Hyderabad / Secunderabad
kumar,Proprietor,trainin,Data Science; Hadoop; Rpas; Devops; Python; Aws; Teaching; Big Data,Bengaluru / Bangalore
Sunil Vedula,CEO,Nanoprecise Sci Corp,Signal Processing; Machine Learning; Neural Networks; Data Science; Predictive Analytics; Time Series Analysis; Data Visualization; Technical Leadership; Data,Delhi
Rajat Kumar,Founder CEO,R.S Consultancy &amp; Services,Web Technologies; Project Management; Software Architecture; Data Science; Object Oriented Programming; Computer Science; Electrical Engineering; Architecture,Mysoru / Mysore
Jayanth N,Project Manager,Dollarbird Information Services Pvt; Ltd,Data Analytics; Managed Services; Team Leading; python; Machine Learning; Google Analytics; Dmp; Aws; Campaign Analytics; Digital Campaigns; Audience,Noida
Prateek Kumar,Head,Trisect,Java; Python; Angularjs; Software Testing; Machine Learning; Data Science; Javascript; Django; React.js; Node.js; Augmented Reality; Virtual Reality; Advanced,Hyderabad / Secunderabad
SREEDHAR,Recruitment Consultant,JOBSMILL BUSINESS SOLUTIONS PRIVATE LIMITED,Data Science; Machine Learning; Big Data Analytics; Spark; Python; R; Networking; Network Engineering; Placement; Training; Sql; Marketing; Mainframes; All,New Delhi
Amit Sharma,Consultant,ASCO consulting,Machine Learning; Artificial Intelligence; Data Science; Software Engineering; Software Development; Graduate Engineer Trainee; Fresher; Data Analytics; Java,Chennai
Kanan,senior technology instructor,NY INST,C; C++; Artificial Intelligence; Python; Php; Web Development; Matlab; Data Science; Augmented Reality; C C++,Aligarh
Shashikant Chaudhary,HR Recruiter/HR Excutive,3D India Staffing Research &amp; Consulting...,Relationship Management; Retail Sales; Private Banking; Mutual Funds; NISM; Equity; Finance; Financial Products; Financial Services; Verbal; Written,Salt Lake City
Brad,Manager; Technical Recruiting,O.C. Tanner,Data Science; Software Engineering,Pune
Rutuja Pawar,Technical Recruiter,Demand Matrix,Data Science; Big Data Analytics; Digital Marketing; Content Writing; Ui Development; Database Development; Qa Automation; Python; Project Management,Bengaluru / Bangalore
Madhusudhan Sridhar,Erp Implementer,MADHUSUDHAN SRIDHAR,Data Science; Recruitment; Salary,Mumbai
Ankit Sinha,Head Analytics,Suntech Global,B.Tech; Tableau; Statistics; R; Analytics; Time Series; Data Science; Business Solutions; SQL; Technical Skills; SSAS; SQL Server; Analysis Services; Qlikview,Indore
Gaurav Chouhan,Chief Technical Officer,Strategic Consulting Lab,Software Development; Business Intelligence; Big Data Analytics; Database Administration; Data Science; Microsoft Azure; Spark; Cassandra; Object Oriented,Bengaluru / Bangalore
Rashi Kacker,Sr Product Manager,Impel Labs Pvt. Ltd.,Data Science; Node.js; Angularjs,MYSORE
Ashwini,Director Global Delivery,MRP Advisers,Data Science; Media Marketing; Resource Planning; Managed Services; Display Advertising; Machine Learning; Python; Etl; Sql,Hyderabad / Secunderabad
Balaji Kolli,Co Founder,Saras Solutions India Pvt Ltd,Data Analysis; Learning; Data Science; Computer Science; Communication Skills,Bengaluru / Bangalore
Rajani Nagaraj,HR Manager,WildJasmine,Java; Hadoop; R; Machine Learning; Spark; Flume; Hdfs; Data Mining; Sas; Big; Data Science; Cloudera; Impala; Bigdata,Mumbai
ROHIT Kumar,Architect,LNT Private Limited,Software Development; Core Java; Unit Testing; Customer Experience; Problem Solving; Communication Skills; Mysql; Data Science; Sales Management; Analytics,Noida
Amir Chowdhury,Managing Partner,Granular.ai,Machine Learning; Data Science; Product Management; New Product; Data Analysis; Computer Vision; Deep Learning; Python; Remote Sensing,
Shailja Mishra,HR Manager,Certybox Pvt.Ltd.,consulting; Education Counseling; Educational Sales; Institutional Sales; pmp; Data Science; Business Development; Revenue Generation; Sales Achievement; new,
